time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2014-06-16,52.75,32.75,27.7,15.7,8.5,6.9,6.08,40.3,0.0,6.8
2013-09-16,-84.25,65.75,-0.1,3.7,56.3,4.7000003,14.33,79.4,22.23,0.90000004
2019-05-16,121.75,17.75,29.6,9.6,225.90001,31.800001,16.25,53.4,0.0,4.7000003
2020-10-16,144.75,-41.75,11.2,7.3,142.3,8.900001,15.67,68.700005,1.31,2.9
2011-12-16,-93.75,64.75,-27.2,8.3,10.7,0.6,7.33,48.100002,31.0,0.0
2014-10-16,46.25,45.75,8.8,11.6,21.300001,8.3,8.51,50.0,10.0199995,1.7
2019-12-16,60.25,53.75,-9.1,10.8,25.300001,2.7,11.61,74.700005,31.0,0.2
2015-03-16,115.25,42.25,-2.1000001,14.5,2.7,1.8000001,1.06,24.4,29.72,2.2
2020-01-16,134.25,-18.25,32.4,11.6,135.1,21.4,10.5199995,60.5,0.0,6.5
2015-06-16,51.75,67.25,11.8,9.400001,103.3,10.1,20.63,76.8,1.8399999,2.9
2011-05-16,133.75,52.75,5.0,14.900001,37.7,5.0,9.57,69.1,23.56,2.6000001
2014-08-16,-44.75,69.25,-6.5,9.8,59.8,3.5,16.119999,74.9,30.59,0.7
2012-04-16,67.25,66.75,-5.5,7.9,32.7,3.7,15.28,65.700005,28.81,0.6
2014-09-16,107.25,30.75,23.300001,6.0,274.4,23.1,19.96,85.0,0.0,2.4
2013-05-16,-92.25,57.25,1.5,11.0,34.100002,5.6,9.349999,57.600002,25.25,1.7
2014-11-16,25.75,-22.75,24.300001,13.900001,47.7,15.6,7.2799997,53.4,0.0,4.8
2020-03-16,105.75,61.25,-11.1,16.2,27.2,2.4,13.16,75.3,31.0,0.4
2020-12-16,127.25,-24.25,29.2,12.1,118.700005,10.5,12.059999,37.5,0.0,8.5
2011-06-16,116.75,52.75,16.9,16.9,48.600002,9.5,9.679999,62.4,0.5,4.4
2012-02-15,122.75,-1.75,25.7,7.7000003,70.1,27.300001,14.059999,66.3,0.0,3.5
2014-06-16,61.25,30.25,35.7,16.0,0.0,15.3,0.0,36.5,0.0,9.6
2015-11-16,98.25,52.75,-21.0,10.8,11.400001,1.0,7.99,54.7,30.0,0.1
2013-11-16,-40.75,76.25,-39.600002,9.900001,6.5,0.1,12.2699995,60.0,30.0,0.1
2018-03-16,21.25,62.75,-6.0,8.2,21.6,3.3,10.62,63.2,30.08,0.5
2011-02-15,67.25,42.25,0.90000004,9.0,40.5,4.7000003,10.7,59.7,22.42,1.0
2017-09-16,22.25,20.25,30.2,14.3,0.4,10.8,0.71999997,21.300001,0.0,7.3
2015-07-16,-7.75,32.75,27.0,13.8,2.2,21.6,1.42,46.3,0.0,5.8
2013-11-16,60.75,43.25,6.6,12.3,4.1,6.0,3.52,46.600002,16.06,1.4
2016-08-16,174.25,63.25,12.2,9.0,43.8,11.1,9.349999,73.9,1.2099999,2.1000001
2012-08-16,-134.75,56.75,11.0,7.0,208.8,11.6,15.7699995,76.700005,1.42,1.7
2012-07-16,-97.75,16.25,27.1,13.2,286.9,26.2,14.849999,67.3,0.0,4.2000003
2020-11-16,98.25,42.75,-1.1,13.2,0.2,2.8,0.25,32.0,27.699999,1.0
2019-01-16,99.25,27.75,3.2,13.2,11.6,3.8,3.3,18.6,24.6,1.7
2011-04-16,55.75,63.75,2.1000001,7.6,47.600002,5.1,20.05,82.3,21.539999,1.3000001
2011-09-16,-76.75,0.75,23.4,10.400001,255.6,23.9,16.8,82.9,0.0,3.0
2017-02-15,24.25,-3.25,24.800001,10.3,147.8,25.1,11.38,80.0,0.0,3.0
2020-08-16,-108.75,38.75,21.300001,19.7,5.0,10.3,2.44,35.100002,0.0,6.4
2011-01-16,-116.25,47.75,-2.9,7.2000003,139.8,4.3,14.63,83.1,27.67,0.4
2017-11-16,42.75,45.25,5.1,7.7000003,12.1,6.9,8.2699995,77.1,13.99,1.0
